"Region","District","Village","Period","start","end"
"Tigray","Adwa","DebreGenet","land preparation","05-02","06-14"
"Tigray","Adwa","DebreGenet","planting","06-28","07-02"
"Tigray","Adwa","DebreGenet","flowering","08-16","08-24"
"Tigray","Adwa","DebreGenet","tasseling/seed filling","08-24","09-11"
"Tigray","Adwa","DebreGenet","harvesting","10-14","11-12"
"Tigray","SaesiTsaedaemba","Hadnet","land preparation","03-02","05-28"
"Tigray","SaesiTsaedaemba","Hadnet","planting","06-13","07-16"
"Tigray","SaesiTsaedaemba","Hadnet","flowering","08-20","09-12"
"Tigray","SaesiTsaedaemba","Hadnet","tasseling/seed filling","08-30","09-21"
"Tigray","SaesiTsaedaemba","Hadnet","harvesting","09-15","11-30"
"Tigray","Kilte Awlaelo","Aynalem","land preparation","03-01","05-30"
"Tigray","Kilte Awlaelo","Aynalem","planting","06-25","08-30"
"Tigray","Kilte Awlaelo","Aynalem","flowering","08-10","09-15"
"Tigray","Kilte Awlaelo","Aynalem","tasseling/seed filling","08-16","09-25"
"Tigray","Kilte Awlaelo","Aynalem","harvesting","10-15","11-30"
"Tigray","Adwa","Bethans","land preparation","01-15","06-30"
"Tigray","Adwa","Bethans","planting","06-25","07-15"
"Tigray","Adwa","Bethans","flowering","08-08","08-30"
"Tigray","Adwa","Bethans","tasseling/seed filling","08-16","09-05"
"Tigray","Adwa","Bethans","harvesting","10-01","11-30"
"Tigray","Atsbi","BarkaAdiswha","land preparation","05-10","06-20"
"Tigray","Atsbi","BarkaAdiswha","planting","06-25","07-15"
"Tigray","Atsbi","BarkaAdiswha","flowering","08-15","09-18"
"Tigray","Atsbi","BarkaAdiswha","tasseling/seed filling","08-22","09-30"
"Tigray","Atsbi","BarkaAdiswha","harvesting","11-05","12-25"
"Tigray","Atsbi","RubaFelege","land preparation","04-15","06-15"
"Tigray","Atsbi","RubaFelege","planting","06-25","07-10"
"Tigray","Atsbi","RubaFelege","flowering","08-15","09-15"
"Tigray","Atsbi","RubaFelege","tasseling/seed filling","08-22","09-27"
"Tigray","Ahferom","Edagaarbi","land preparation","12-13","06-23"
"Tigray","Ahferom","Edagaarbi","planting","07-03","07-16"
"Tigray","Ahferom","Edagaarbi","flowering","08-28","09-13"
"Tigray","Ahferom","Edagaarbi","tasseling/seed filling","09-30","10-13"
"Tigray","Ahferom","Edagaarbi","harvesting","10-28","11-12"
"Tigray","Ahferom","Edagaarbi","land preparation","12-13","06-18"
"Tigray","Ahferom","Edagaarbi","planting","06-28","07-12"
"Tigray","Ahferom","Edagaarbi","flowering","08-24","09-08"
"Tigray","Ahferom","Edagaarbi","tasseling/seed filling","09-28","10-12"
"Tigray","Ahferom","Edagaarbi","harvesting","10-17","11-07"
"Tigray","Ganta-afeshum","Simret-1","land preparation","01-10","06-22"
"Tigray","Ganta-afeshum","Simret-1","planting","06-25","07-17"
"Tigray","Ganta-afeshum","Simret-1","flowering","08-22","09-25"
"Tigray","Ganta-afeshum","Simret-1","tasseling/seed filling","09-25","10-11"
"Tigray","Ganta-afeshum","Simret-1","harvesting","10-27","11-26"
"Tigray","Ganta-afeshum","Simret-1","land preparation","01-10","04-08"
"Tigray","Ganta-afeshum","Simret-1","planting","05-01","05-31"
"Tigray","Ganta-afeshum","Simret-1","flowering","08-07","09-06"
"Tigray","Ganta-afeshum","Simret-1","tasseling/seed filling","09-16","11-10"
"Tigray","Ganta-afeshum","Simret-1","harvesting","11-16","12-10"
"Tigray","Ganta-afeshum","Simret-1","land preparation","01-10","06-07"
"Tigray","Ganta-afeshum","Simret-1","planting","06-08","07-07"
"Tigray","Ganta-afeshum","Simret-1","flowering","08-21","09-05"
"Tigray","Ganta-afeshum","Simret-1","tasseling/seed filling","09-16","10-11"
"Tigray","Ganta-afeshum","Simret-1","harvesting","10-12","11-10"
"Tigray","Tanqua-Abergele","Simret","land preparation","12-14","02-07"
"Tigray","Tanqua-Abergele","Simret","planting","06-07","06-23"
"Tigray","Tanqua-Abergele","Simret","flowering","07-23","08-06"
"Tigray","Tanqua-Abergele","Simret","tasseling/seed filling","08-06","08-30"
"Tigray","Tanqua-Abergele","Simret","harvesting","10-12","10-27"
"Tigray","Tanqua-Abergele","Simret","land preparation","12-14","02-07"
"Tigray","Tanqua-Abergele","Simret","planting","05-09","07-07"
"Tigray","Tanqua-Abergele","Simret","flowering","08-22","09-28"
"Tigray","Tanqua-Abergele","Simret","tasseling/seed filling","09-05","10-27"
"Tigray","Tanqua-Abergele","Simret","harvesting","11-11","11-29"
"Tigray","Ahferom","Emba-Ahfrom","land preparation","01-08","07-06"
"Tigray","Ahferom","Emba-Ahfrom","planting","07-11","07-18"
"Tigray","Ahferom","Emba-Ahfrom","flowering","09-03","09-24"
"Tigray","Ahferom","Emba-Ahfrom","tasseling/seed filling","10-08","10-23"
"Tigray","Ahferom","Emba-Ahfrom","harvesting","11-06","11-08"
"Tigray","Ahferom","Emba-Ahfrom","land preparation","03-08","06-13"
"Tigray","Ahferom","Emba-Ahfrom","planting","06-26","07-08"
"Tigray","Ahferom","Emba-Ahfrom","flowering","08-24","09-03"
"Tigray","Ahferom","Emba-Ahfrom","tasseling/seed filling","09-18","10-08"
"Tigray","Ahferom","Emba-Ahfrom","harvesting","10-23","11-08"
"Tigray","Tanqua-Abergele","Jijqe","land preparation","01-25","03-09"
"Tigray","Tanqua-Abergele","Jijqe","planting","05-22","06-19"
"Tigray","Tanqua-Abergele","Jijqe","flowering","08-01","08-22"
"Tigray","Tanqua-Abergele","Jijqe","tasseling/seed filling","08-24","09-27"
"Tigray","Tanqua-Abergele","Jijqe","harvesting","10-11","11-09"
"Tigray","Tanqua-Abergele","Jijqe","land preparation","05-23","06-07"
"Tigray","Tanqua-Abergele","Jijqe","planting","06-08","07-07"
"Tigray","Tanqua-Abergele","Jijqe","flowering","08-22","09-16"
"Tigray","Tanqua-Abergele","Jijqe","tasseling/seed filling","09-27","10-26"
"Tigray","Tanqua-Abergele","Jijqe","harvesting","11-08","12-01"
"Tigray","Ahferom","Sefo","land preparation","01-09","06-28"
"Tigray","Ahferom","Sefo","planting","07-09","07-20"
"Tigray","Ahferom","Sefo","flowering","08-23","09-18"
"Tigray","Ahferom","Sefo","tasseling/seed filling","09-29","10-13"
"Tigray","Ahferom","Sefo","harvesting","10-28","11-13"
"Tigray","Ahferom","Sefo","land preparation","01-09","06-09"
"Tigray","Ahferom","Sefo","planting","06-21","07-08"
"Tigray","Ahferom","Sefo","flowering","08-30","09-23"
"Tigray","Ahferom","Sefo","tasseling/seed filling","10-12","10-27"
"Tigray","Ahferom","Sefo","harvesting","11-07","11-19"
"Tigray","Ahferom","Laelayhahaile","land preparation","01-09","07-06"
"Tigray","Ahferom","Laelayhahaile","planting","07-08","07-13"
"Tigray","Ahferom","Laelayhahaile","flowering","08-29","09-13"
"Tigray","Ahferom","Laelayhahaile","tasseling/seed filling","09-26","10-23"
"Tigray","Ahferom","Laelayhahaile","harvesting","11-08","11-20"
"Tigray","Ahferom","Laelayhahaile","land preparation","01-09","06-08"
"Tigray","Ahferom","Laelayhahaile","planting","06-23","07-08"
"Tigray","Ahferom","Laelayhahaile","flowering","08-23","09-13"
"Tigray","Ahferom","Laelayhahaile","tasseling/seed filling","09-27","10-13"
"Tigray","Ahferom","Laelayhahaile","harvesting","10-27","11-13"
"Tigray","Ahferom","Kudo","land preparation","01-08","04-23"
"Tigray","Ahferom","Kudo","planting","04-30","05-20"
"Tigray","Ahferom","Kudo","flowering","08-23","09-13"
"Tigray","Ahferom","Kudo","tasseling/seed filling","09-23","10-13"
"Tigray","Ahferom","Kudo","harvesting","10-27","11-12"
"Tigray","Ahferom","Kudo","land preparation","01-08","06-08"
"Tigray","Ahferom","Kudo","planting","06-05","07-08"
"Tigray","Ahferom","Kudo","flowering","08-24","09-08"
"Tigray","Ahferom","Kudo","tasseling/seed filling","09-25","10-13"
"Tigray","Ahferom","Kudo","harvesting","10-28","11-20"
"Tigray","Ahferom","Endamariam","land preparation","01-09","07-11"
"Tigray","Ahferom","Endamariam","planting","06-26","07-20"
"Tigray","Ahferom","Endamariam","flowering","09-09","09-27"
"Tigray","Ahferom","Endamariam","tasseling/seed filling","09-10","10-15"
"Tigray","Ahferom","Endamariam","harvesting","10-30","11-19"
"Tigray","Ahferom","Endamariam","land preparation","01-09","04-08"
"Tigray","Ahferom","Endamariam","planting","05-14","05-28"
"Tigray","Ahferom","Endamariam","flowering","08-24","09-08"
"Tigray","Ahferom","Endamariam","tasseling/seed filling","10-22","11-12"
"Tigray","Ahferom","Endamariam","harvesting","11-24","12-03"
"Tigray","Ahferom","Endamariam","land preparation","01-24","06-23"
"Tigray","Ahferom","Endamariam","planting","06-26","07-13"
"Tigray","Ahferom","Endamariam","flowering","08-23","11-28"
"Tigray","Ahferom","Endamariam","tasseling/seed filling","09-28","10-12"
"Tigray","Ahferom","Endamariam","harvesting","10-26","11-11"
"Tigray","Ahferom","Mezbr","land preparation","03-08","07-03"
"Tigray","Ahferom","Mezbr","planting","07-06","07-23"
"Tigray","Ahferom","Mezbr","flowering","08-24","09-08"
"Tigray","Ahferom","Mezbr","tasseling/seed filling","09-22","09-30"
"Tigray","Ahferom","Mezbr","harvesting","10-28","11-12"
"Tigray","Ahferom","Mezbr","land preparation","01-08","04-08"
"Tigray","Ahferom","Mezbr","planting","05-03","05-23"
"Tigray","Ahferom","Mezbr","flowering","08-24","09-17"
"Tigray","Ahferom","Mezbr","tasseling/seed filling","10-01","10-29"
"Tigray","Ahferom","Mezbr","harvesting","11-25","12-04"
"Tigray","Ahferom","TahtayDaeroka","land preparation","01-02","06-14"
"Tigray","Ahferom","TahtayDaeroka","planting","06-14","07-09"
"Tigray","Ahferom","TahtayDaeroka","flowering","08-24","09-14"
"Tigray","Ahferom","TahtayDaeroka","tasseling/seed filling","08-30","09-05"
"Tigray","Ahferom","TahtayDaeroka","harvesting","10-14","10-26"
"Tigray","Medebay-Zana","Nefasit","land preparation","06-08","07-07"
"Tigray","Medebay-Zana","Nefasit","planting","07-08","07-27"
"Tigray","Medebay-Zana","Nefasit","flowering","09-11","09-27"
"Tigray","Medebay-Zana","Nefasit","tasseling/seed filling","09-28","10-10"
"Tigray","Medebay-Zana","Nefasit","harvesting","10-25","11-30"
"Tigray","Medebay-Zana","Nefasit","land preparation","03-26","05-26"
"Tigray","Medebay-Zana","Nefasit","planting","05-28","06-13"
"Tigray","Medebay-Zana","Nefasit","flowering","08-03","08-22"
"Tigray","Medebay-Zana","Nefasit","tasseling/seed filling","08-23","09-22"
"Tigray","Medebay-Zana","Nefasit","harvesting","10-27","11-10"
"Tigray","Medebay-Zana","Nefasit","land preparation","04-15","06-07"
"Tigray","Medebay-Zana","Nefasit","planting","04-15","06-07"
"Tigray","Medebay-Zana","Nefasit","flowering","08-22","09-05"
"Tigray","Medebay-Zana","Nefasit","tasseling/seed filling","09-11","10-10"
"Tigray","Medebay-Zana","Nefasit","harvesting","10-24","11-29"
"Tigray","Saharti Samre","Nebarhadinet","land preparation","06-07","07-13"
"Tigray","Saharti Samre","Nebarhadinet","planting","07-19","08-06"
"Tigray","Saharti Samre","Nebarhadinet","flowering","08-26","09-12"
"Tigray","Saharti Samre","Nebarhadinet","tasseling/seed filling","09-05","09-16"
"Tigray","Saharti Samre","Nebarhadinet","harvesting","10-10","11-13"
"Tigray","Saharti Samre","Nebarhadinet","land preparation","03-10","04-24"
"Tigray","Saharti Samre","Nebarhadinet","planting","05-09","06-22"
"Tigray","Saharti Samre","Nebarhadinet","flowering","08-21","08-31"
"Tigray","Saharti Samre","Nebarhadinet","tasseling/seed filling","08-31","09-05"
"Tigray","Saharti Samre","Nebarhadinet","harvesting","10-30","11-29"
"Tigray","Medebay-Zana","Mesehle","land preparation","03-17","06-26"
"Tigray","Medebay-Zana","Mesehle","planting","06-27","07-30"
"Tigray","Medebay-Zana","Mesehle","flowering","08-26","09-11"
"Tigray","Medebay-Zana","Mesehle","tasseling/seed filling","09-18","10-06"
"Tigray","Medebay-Zana","Mesehle","harvesting","10-17","11-26"
"Tigray","Medebay-Zana","Mesehle","land preparation","03-11","06-24"
"Tigray","Medebay-Zana","Mesehle","planting","03-11","05-08"
"Tigray","Medebay-Zana","Mesehle","flowering","06-12","08-24"
"Tigray","Medebay-Zana","Mesehle","tasseling/seed filling","05-13","06-24"
"Tigray","Medebay-Zana","Mesehle","harvesting","09-30","11-08"
"Tigray","Medebay-Zana","Mesehle","land preparation","03-11","04-09"
"Tigray","Medebay-Zana","Mesehle","planting","04-10","05-07"
"Tigray","Medebay-Zana","Mesehle","flowering","08-22","08-10"
"Tigray","Medebay-Zana","Mesehle","harvesting","09-11","10-05"
"Tigray","Saharti Samre","Gijet","land preparation","05-23","07-11"
"Tigray","Saharti Samre","Gijet","planting","07-08","07-27"
"Tigray","Saharti Samre","Gijet","flowering","08-22","09-05"
"Tigray","Saharti Samre","Gijet","tasseling/seed filling","09-03","09-18"
"Tigray","Saharti Samre","Gijet","harvesting","10-27","11-26"
"Tigray","Saharti Samre","Gijet","land preparation","05-09","06-22"
"Tigray","Saharti Samre","Gijet","planting","06-27","07-12"
"Tigray","Saharti Samre","Gijet","flowering","08-22","09-05"
"Tigray","Saharti Samre","Gijet","tasseling/seed filling","09-05","09-22"
"Tigray","Saharti Samre","Gijet","harvesting","10-16","11-25"
"Tigray","Ganta-afeshum","Adekiney","land preparation","01-08","06-08"
"Tigray","Ganta-afeshum","Adekiney","planting","07-07","05-25"
"Tigray","Ganta-afeshum","Adekiney","flowering","08-23","09-12"
"Tigray","Ganta-afeshum","Adekiney","tasseling/seed filling","09-13","11-09"
"Tigray","Ganta-afeshum","Adekiney","harvesting","11-23","11-30"
"Tigray","Ganta-afeshum","Adekiney","land preparation","01-08","03-11"
"Tigray","Ganta-afeshum","Adekiney","planting","06-08","07-08"
"Tigray","Ganta-afeshum","Adekiney","flowering","08-24","09-11"
"Tigray","Ganta-afeshum","Adekiney","tasseling/seed filling","09-11","10-11"
"Tigray","Ganta-afeshum","Adekiney","harvesting","10-12","11-06"
"Tigray","Ganta-afeshum","Adekiney","land preparation","01-08","06-07"
"Tigray","Ganta-afeshum","Adekiney","planting","06-23","07-11"
"Tigray","Ganta-afeshum","Adekiney","flowering","08-17","09-11"
"Tigray","Ganta-afeshum","Adekiney","tasseling/seed filling","09-12","10-10"
"Tigray","Ganta-afeshum","Adekiney","harvesting","10-12","11-10"
"Tigray","TanquaAbergele","Mearey","land preparation","05-01","06-30"
"Tigray","TanquaAbergele","Mearey","planting","06-01","06-30"
"Tigray","TanquaAbergele","Mearey","flowering","07-31","09-11"
"Tigray","TanquaAbergele","Mearey","tasseling/seed filling","08-05","09-12"
"Tigray","TanquaAbergele","Mearey","harvesting","11-14","12-16"
"Tigray","Saharti Samre","Hintsa","land preparation","06-08","07-12"
"Tigray","Saharti Samre","Hintsa","planting","07-13","08-03"
"Tigray","Saharti Samre","Hintsa","flowering","08-12","09-06"
"Tigray","Saharti Samre","Hintsa","tasseling/seed filling","08-23","09-16"
"Tigray","Saharti Samre","Hintsa","harvesting","10-26","11-22"
"Tigray","Saharti Samre","Hintsa","land preparation","03-10","05-23"
"Tigray","Saharti Samre","Hintsa","planting","05-09","06-22"
"Tigray","Saharti Samre","Hintsa","flowering","08-07","09-12"
"Tigray","Saharti Samre","Hintsa","tasseling/seed filling","08-22","09-27"
"Tigray","Saharti Samre","Hintsa","harvesting","11-20","12-10"
"Tigray","Ofla","Adishimbirkti","land preparation","12-14","06-07"
"Tigray","Ofla","Adishimbirkti","planting","07-01","07-14"
"Tigray","Ofla","Adishimbirkti","flowering","09-01","09-13"
"Tigray","Ofla","Adishimbirkti","tasseling/seed filling","10-01","10-16"
"Tigray","Ofla","Adishimbirkti","harvesting","11-05","12-05"
"Tigray","Ofla","Zata","land preparation","12-15","04-07"
"Tigray","Ofla","Zata","planting","06-28","07-02"
"Tigray","Ofla","Zata","flowering","08-22","09-12"
"Tigray","Ofla","Zata","tasseling/seed filling","09-16","09-26"
"Tigray","Ofla","Zata","harvesting","11-08","12-02"
"Tigray","Ofla","Fala","land preparation","01-12","06-07"
"Tigray","Ofla","Fala","planting","07-01","07-22"
"Tigray","Ofla","Fala","flowering","09-07","09-21"
"Tigray","Ofla","Fala","tasseling/seed filling","10-12","10-27"
"Tigray","Ofla","Fala","harvesting","11-09","12-05"
"Tigray","Alamata","Tsetsera","land preparation","12-09","05-14"
"Tigray","Alamata","Tsetsera","planting","06-30","07-12"
"Tigray","Alamata","Tsetsera","flowering","08-22","09-12"
"Tigray","Alamata","Tsetsera","tasseling/seed filling","09-17","09-28"
"Tigray","Alamata","Tsetsera","harvesting","10-18","11-30"
"Tigray","Alamata","Sorya","land preparation","12-16","03-30"
"Tigray","Alamata","Sorya","planting","07-10","07-18"
"Tigray","Alamata","Sorya","flowering","09-10","10-05"
"Tigray","Alamata","Sorya","tasseling/seed filling","10-10","10-16"
"Tigray","Alamata","Sorya","harvesting","10-30","11-30"
"Tigray","Samre","MayTeklia","land preparation","09-15","09-23"
"Tigray","Samre","MayTeklia","planting","06-15","09-30"
"Tigray","Samre","MayTeklia","flowering","08-23","09-24"
"Tigray","Samre","MayTeklia","tasseling/seed filling","09-16","09-27"
"Tigray","Samre","MayTeklia","harvesting","10-15","11-17"
"Amhara","Libo Kemkem","Bilb Wuha","land preparation","12-11","05-01"
"Amhara","Libo Kemkem","Bilb Wuha","planting","06-02","06-23"
"Amhara","Libo Kemkem","Bilb Wuha","flowering","10-05","09-27"
"Amhara","Libo Kemkem","Bilb Wuha","tasseling/seed filling","09-27","11-10"
"Amhara","Libo Kemkem","Bilb Wuha","harvesting","11-11","12-10"
"Tigray","RayaAzebo","HadeAlga","land preparation","04-09","07-07"
"Tigray","RayaAzebo","HadeAlga","planting","07-13","08-16"
"Tigray","RayaAzebo","HadeAlga","flowering","10-21","09-21"
"Tigray","RayaAzebo","HadeAlga","tasseling/seed filling","08-26","09-27"
"Tigray","RayaAzebo","HadeAlga","harvesting","10-10","11-20"
"Tigray","RayaAzebo","HadeAlga","land preparation","01-19","04-20"
"Tigray","RayaAzebo","HadeAlga","planting","04-28","05-28"
"Tigray","RayaAzebo","HadeAlga","flowering","08-16","09-21"
"Tigray","RayaAzebo","HadeAlga","tasseling/seed filling","08-22","09-27"
"Tigray","RayaAzebo","HadeAlga","harvesting","10-30","12-15"
"Amhara","LiboKemikem","Berkutae","land preparation","03-10","07-07"
"Amhara","LiboKemikem","Berkutae","planting","07-08","08-06"
"Amhara","LiboKemikem","Berkutae","flowering","09-16","09-27"
"Amhara","LiboKemikem","Berkutae","tasseling/seed filling","09-27","10-16"
"Amhara","LiboKemikem","Berkutae","harvesting","11-10","12-10"
"Amhara","LiboKemikem","Berkutae","land preparation","03-10","05-09"
"Amhara","LiboKemikem","Berkutae","planting","05-09","06-08"
"Amhara","LiboKemikem","Berkutae","flowering","08-07","09-21"
"Amhara","LiboKemikem","Berkutae","tasseling/seed filling","08-21","09-26"
"Amhara","LiboKemikem","Berkutae","harvesting","10-12","10-26"
"Amhara","LiboKemikem","Tara gedam","land preparation","03-10","07-07"
"Amhara","LiboKemikem","Tara gedam","planting","07-08","07-27"
"Amhara","LiboKemikem","Tara gedam","flowering","09-12","10-11"
"Amhara","LiboKemikem","Tara gedam","tasseling/seed filling","10-16","11-25"
"Amhara","LiboKemikem","Tara gedam","harvesting","11-25","12-10"
"Amhara","LiboKemikem","Tara gedam","land preparation","03-10","05-08"
"Amhara","LiboKemikem","Tara gedam","planting","05-09","05-28"
"Amhara","LiboKemikem","Tara gedam","flowering","08-15","09-05"
"Amhara","LiboKemikem","Tara gedam","tasseling/seed filling","09-27","10-12"
"Amhara","LiboKemikem","Tara gedam","harvesting","11-11","11-25"
"Tigray","Endamekoni","Simret","land preparation","01-10","06-17"
"Tigray","Endamekoni","Simret","planting","07-09","07-22"
"Tigray","Endamekoni","Simret","flowering","09-05","09-24"
"Tigray","Endamekoni","Simret","tasseling/seed filling","09-24","10-15"
"Tigray","Endamekoni","Simret","harvesting","11-19","12-19"
"Tigray","Samre","AmdiWeyane","land preparation","02-08","06-07"
"Tigray","Samre","AmdiWeyane","planting","07-05","08-01"
"Tigray","Samre","AmdiWeyane","flowering","08-18","09-16"
"Tigray","Samre","AmdiWeyane","tasseling/seed filling","09-30","10-26"
"Tigray","Samre","AmdiWeyane","harvesting","11-09","12-18"
"Tigray","Samre","AmdiWeyane","land preparation","09-22","06-08"
"Tigray","Samre","AmdiWeyane","planting","07-01","07-25"
"Tigray","Samre","AmdiWeyane","flowering","08-24","09-16"
"Tigray","Samre","AmdiWeyane","tasseling/seed filling","08-28","10-05"
"Tigray","Samre","AmdiWeyane","harvesting","10-05","11-30"
"Tigray","RayaAzebo","Mechare","land preparation","03-24","07-22"
"Tigray","RayaAzebo","Mechare","planting","07-13","08-11"
"Tigray","RayaAzebo","Mechare","flowering","08-26","09-04"
"Tigray","RayaAzebo","Mechare","tasseling/seed filling","09-06","09-12"
"Tigray","RayaAzebo","Mechare","harvesting","10-21","12-03"
"Tigray","RayaAzebo","Mechare","land preparation","01-15","03-24"
"Tigray","RayaAzebo","Mechare","planting","04-09","06-08"
"Tigray","RayaAzebo","Mechare","flowering","08-16","09-21"
"Tigray","RayaAzebo","Mechare","tasseling/seed filling","08-22","09-27"
"Tigray","RayaAzebo","Mechare","harvesting","10-30","12-11"
"Tigray","Alamata","Gerjale","land preparation","02-09","04-09"
"Tigray","Alamata","Gerjale","planting","07-22","08-22"
"Tigray","Alamata","Gerjale","flowering","09-02","09-21"
"Tigray","Alamata","Gerjale","tasseling/seed filling","09-07","09-26"
"Tigray","Alamata","Gerjale","harvesting","10-30","11-20"
"Tigray","Alamata","Gerjale","land preparation","02-08","07-07"
"Tigray","Alamata","Gerjale","planting","04-20","06-08"
"Tigray","Alamata","Gerjale","flowering","09-04","09-21"
"Tigray","Alamata","Gerjale","tasseling/seed filling","09-12","09-28"
"Tigray","Alamata","Gerjale","harvesting","11-20","12-18"
"Tigray","Tanqua-Abergele","Tekleweyni","land preparation","01-09","03-09"
"Tigray","Tanqua-Abergele","Tekleweyni","planting","05-09","07-07"
"Tigray","Tanqua-Abergele","Tekleweyni","flowering","08-21","09-10"
"Tigray","Tanqua-Abergele","Tekleweyni","tasseling/seed filling","08-27","09-28"
"Tigray","Tanqua-Abergele","Tekleweyni","harvesting","11-07","12-10"
"Tigray","Tanqua-Abergele","Siye","land preparation","12-22","01-23"
"Tigray","Tanqua-Abergele","Siye","planting","05-09","06-22"
"Tigray","Tanqua-Abergele","Siye","flowering","08-21","09-10"
"Tigray","Tanqua-Abergele","Siye","tasseling/seed filling","08-26","09-28"
"Tigray","Tanqua-Abergele","Siye","harvesting","11-14","12-10"
"Tigray","Tanqua-Abergele","Tseykeme","land preparation","01-08","03-09"
"Tigray","Tanqua-Abergele","Tseykeme","planting","05-24","06-12"
"Tigray","Tanqua-Abergele","Tseykeme","flowering","08-22","09-05"
"Tigray","Tanqua-Abergele","Tseykeme","tasseling/seed filling","09-06","09-27"
"Tigray","Tanqua-Abergele","Tseykeme","harvesting","10-21","11-10"
"Tigray","Tanqua-Abergele","Negedebrhan","land preparation","01-22","02-22"
"Tigray","Tanqua-Abergele","Negedebrhan","planting","05-09","06-12"
"Tigray","Tanqua-Abergele","Negedebrhan","flowering","08-07","09-05"
"Tigray","Tanqua-Abergele","Negedebrhan","tasseling/seed filling","08-21","09-06"
"Tigray","Tanqua-Abergele","Negedebrhan","harvesting","11-03","11-22"
"Tigray","Tanqua-Abergele","Grwre","land preparation","01-02","02-07"
"Tigray","Tanqua-Abergele","Grwre","planting","05-09","01-27"
"Tigray","Tanqua-Abergele","Grwre","flowering","08-21","09-21"
"Tigray","Tanqua-Abergele","Grwre","tasseling/seed filling","09-22","09-28"
"Tigray","Tanqua-Abergele","Grwre","harvesting","11-11","12-10"
"Tigray","Tanqua-Abergele","Limat","land preparation","01-10","04-08"
"Tigray","Tanqua-Abergele","Limat","planting","05-09","05-29"
"Tigray","Tanqua-Abergele","Limat","flowering","07-07","08-13"
"Tigray","Tanqua-Abergele","Limat","tasseling/seed filling","08-14","08-22"
"Tigray","Tanqua-Abergele","Limat","harvesting","10-11","11-22"
"Tigray","Naeder-Adet","Jira","land preparation","04-09","07-03"
"Tigray","Naeder-Adet","Jira","planting","07-06","07-20"
"Tigray","Naeder-Adet","Jira","flowering","09-02","09-16"
"Tigray","Naeder-Adet","Jira","tasseling/seed filling","09-20","10-06"
"Tigray","Naeder-Adet","Jira","harvesting","10-23","11-20"
"Tigray","Naeder-Adet","Adreb","land preparation","01-09","05-08"
"Tigray","Naeder-Adet","Adreb","planting","05-16","05-23"
"Tigray","Naeder-Adet","Adreb","flowering","08-30","09-12"
"Tigray","Naeder-Adet","Adreb","tasseling/seed filling","09-26","10-24"
"Tigray","Naeder-Adet","Adreb","harvesting","11-19","11-29"
"Tigray","Naeder-Adet","Ksad-acki","land preparation","01-09","05-06"
"Tigray","Naeder-Adet","Ksad-acki","planting","05-08","05-22"
"Tigray","Naeder-Adet","Ksad-acki","flowering","08-24","09-12"
"Tigray","Naeder-Adet","Ksad-acki","tasseling/seed filling","09-27","10-30"
"Tigray","Naeder-Adet","Ksad-acki","harvesting","12-16","11-25"
"Tigray","Naeder-Adet","Seka","land preparation","03-24","07-04"
"Tigray","Naeder-Adet","Seka","planting","07-06","07-20"
"Tigray","Naeder-Adet","Seka","flowering","09-04","09-09"
"Tigray","Naeder-Adet","Seka","tasseling/seed filling","09-16","10-11"
"Tigray","Naeder-Adet","Seka","harvesting","10-22","11-08"
"Tigray","Adwa","Lalaylogomti","land preparation","03-13","07-06"
"Tigray","Adwa","Lalaylogomti","planting","07-12","07-20"
"Tigray","Adwa","Lalaylogomti","flowering","09-03","09-16"
"Tigray","Adwa","Lalaylogomti","tasseling/seed filling","09-23","10-10"
"Tigray","Adwa","Lalaylogomti","harvesting","10-24","11-14"
"Tigray","Adwa","Woyenti","land preparation","03-09","06-11"
"Tigray","Adwa","Woyenti","planting","06-24","07-26"
"Tigray","Adwa","Woyenti","flowering","08-28","09-11"
"Tigray","Adwa","Woyenti","tasseling/seed filling","09-16","10-02"
"Tigray","Adwa","Woyenti","harvesting","10-25","11-14"
"Tigray","Naeder-Adet","Adi selam","land preparation","01-09","06-18"
"Tigray","Naeder-Adet","Adi selam","planting","06-25","07-12"
"Tigray","Naeder-Adet","Adi selam","flowering","08-28","09-08"
"Tigray","Naeder-Adet","Adi selam","tasseling/seed filling","09-24","10-08"
"Tigray","Naeder-Adet","Adi selam","harvesting","10-23","11-28"
"Tigray","KolaTembien","Endabano","land preparation","04-16","06-15"
"Tigray","KolaTembien","Endabano","planting","06-03","06-23"
"Tigray","KolaTembien","Endabano","flowering","08-10","09-16"
"Tigray","KolaTembien","Endabano","tasseling/seed filling","08-21","09-21"
"Tigray","KolaTembien","Endabano","harvesting","09-26","10-15"
"Tigray","KolaTembien","Endabano","land preparation","04-15","06-16"
"Tigray","KolaTembien","Endabano","planting","06-01","06-14"
"Tigray","KolaTembien","Endabano","flowering","08-15","09-18"
"Tigray","KolaTembien","Endabano","tasseling/seed filling","08-21","09-22"
"Tigray","KolaTembien","Endabano","harvesting","10-05","11-15"
"Tigray","TanquaAbergele","Lemlem","land preparation","04-30","06-15"
"Tigray","TanquaAbergele","Lemlem","planting","05-31","06-30"
"Tigray","TanquaAbergele","Lemlem","flowering","08-31","09-10"
"Tigray","TanquaAbergele","Lemlem","tasseling/seed filling","10-05","09-15"
"Tigray","TanquaAbergele","Lemlem","harvesting","11-15","11-30"
"Tigray","Alamata","LaelayDayu","land preparation","02-01","06-30"
"Tigray","Alamata","LaelayDayu","planting","06-25","08-21"
